Hour_of_Year,Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Tier_C_MW,Total_Hardware_Used_MW,Curtailment_MW
335,8.0,0.0,24.231227435616056,0.0,32.231227435616056,0.0
336,8.0,0.0,22.27435171744004,0.0,30.27435171744004,0.0
337,8.0,0.0,19.843866414485376,0.0,27.843866414485376,0.0
338,8.0,0.0,15.878809749785017,0.0,23.878809749785017,0.0
339,8.0,0.0,14.062644465729079,0.0,22.06264446572908,0.0
340,8.0,0.0,12.684436090289445,0.0,20.684436090289445,0.0
341,8.0,0.0,10.099596734474044,0.0,18.099596734474044,0.0
342,8.0,0.0,6.770041418905208,0.0,14.770041418905208,0.0
343,8.0,0.0,3.6442945438665735,0.0,11.644294543866573,0.0
344,8.0,0.0,1.3755338758576503,0.0,9.37553387585765,0.0
345,8.0,0.0,0.0,0.0,8.0,0.0
346,8.0,0.0,9.453785950608523,0.0,17.453785950608523,0.0
347,8.0,0.0,43.28520259924321,0.0,51.28520259924321,0.0
348,8.0,0.0,70.97990472215415,0.0,78.97990472215415,0.0
349,8.0,0.0,85.90010854160411,0.0,93.90010854160411,0.0
350,8.0,0.0,65.59260130024134,0.0,73.59260130024134,0.0
351,8.0,0.0,27.455211127887694,0.0,35.455211127887694,0.0
352,8.0,0.0,0.0,0.0,8.0,0.0
353,8.0,0.0,0.0,0.0,8.0,0.0
354,8.0,0.0,0.0,0.0,8.0,0.0
355,8.0,0.0,2.8759397234303066,0.0,10.875939723430307,0.0
356,8.0,0.0,7.3806909796242195,0.0,15.38069097962422,0.0
357,8.0,0.0,9.341976501591823,0.0,17.341976501591823,0.0
358,8.0,0.0,7.769876231844965,0.0,15.769876231844965,0.0
359,8.0,0.0,4.828460359672281,0.0,12.828460359672281,0.0
360,8.0,0.0,1.5787349852045995,0.0,9.5787349852046,0.0
361,8.0,0.0,1.8918543114912971,0.0,9.891854311491297,0.0
362,8.0,0.0,2.3071004442503344,0.0,10.307100444250334,0.0
363,8.0,0.0,3.764763232995394,0.0,11.764763232995394,0.0
364,8.0,0.0,4.969044283963356,0.0,12.969044283963356,0.0
365,8.0,0.0,6.490032661560759,0.0,14.49003266156076,0.0
366,8.0,0.0,6.864059501521533,0.0,14.864059501521533,0.0
367,8.0,0.0,5.495062583629283,0.0,13.495062583629283,0.0
368,8.0,0.0,5.434191154671172,0.0,13.434191154671172,0.0
369,8.0,0.0,5.7959053776206435,0.0,13.795905377620644,0.0
370,8.0,0.0,9.165666447326064,0.0,17.165666447326064,0.0
371,8.0,0.0,24.67295156290959,0.0,32.67295156290959,0.0
372,8.0,0.0,40.657486928263054,0.0,48.657486928263054,0.0
373,8.0,0.0,54.787052623119976,0.0,62.787052623119976,0.0
374,8.0,0.0,45.774214909004165,0.0,53.774214909004165,0.0
375,8.0,0.0,62.043322128395005,0.0,70.043322128395,0.0
376,8.0,0.0,16.5371148355672,0.0,24.5371148355672,0.0
377,8.0,0.0,19.350657800628554,0.0,27.350657800628554,0.0
378,8.0,0.0,23.940170156927664,0.0,31.940170156927664,0.0
379,8.0,0.0,28.093050729838914,0.0,36.093050729838914,0.0
380,8.0,0.0,29.86751048447414,0.0,37.86751048447414,0.0
381,8.0,0.0,30.835132538846715,0.0,38.835132538846715,0.0
382,8.0,0.0,32.58412406338674,0.0,40.58412406338674,0.0
383,8.0,0.0,41.954216727708726,0.0,49.954216727708726,0.0
384,8.0,0.0,38.868990572979214,0.0,46.868990572979214,0.0
385,8.0,0.0,33.34512254412273,0.0,41.34512254412273,0.0
386,8.0,0.0,25.849942384294273,0.0,33.84994238429427,0.0
387,8.0,0.0,18.745266969031157,0.0,26.745266969031157,0.0
388,8.0,0.0,14.836921003631733,0.0,22.836921003631733,0.0
389,8.0,0.0,12.44629711433004,0.0,20.44629711433004,0.0
390,8.0,0.0,9.936662396227039,0.0,17.93666239622704,0.0
391,8.0,0.0,7.3012733788986175,0.0,15.301273378898617,0.0
392,8.0,0.0,4.910778908357292,0.0,12.910778908357292,0.0
393,8.0,0.0,1.3118050461358592,0.0,9.31180504613586,0.0
394,8.0,0.0,0.4989244770407826,0.0,8.498924477040783,0.0
395,8.0,0.0,5.894806503589649,0.0,13.894806503589649,0.0
396,8.0,0.0,10.542805307993245,0.0,18.542805307993245,0.0
397,8.0,0.0,7.7628759576934865,0.0,15.762875957693486,0.0
398,8.0,0.0,22.46208390190286,0.0,30.46208390190286,0.0
399,8.0,0.0,12.713942779355502,0.0,20.713942779355502,0.0
400,8.0,0.0,0.0,0.0,8.0,0.0
401,8.0,0.0,0.0,0.0,8.0,0.0
402,8.0,0.0,0.0,0.0,8.0,0.0
403,8.0,0.0,0.0,0.0,8.0,0.0
404,8.0,0.0,1.3389845862211427,0.0,9.338984586221143,0.0
405,8.0,0.0,3.9796538085006166,0.0,11.979653808500617,0.0
406,8.0,0.0,5.4142231528687415,0.0,13.414223152868741,0.0
407,8.0,0.0,3.4297221492972163,0.0,11.429722149297216,0.0
