Total_Provisioned_MW,Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Reliability_A,Reliability_B1,Reliability_B2,LCOE_delivered,Curtailment_Annual_GWh,Energy_A_Annual_GWh,Energy_B1_Annual_GWh,Energy_B2_Annual_GWh,Energy_C_Annual_GWh,Total_Delivered_Annual_GWh,Objective_Value,Realized_Utilization
21.0,2.0,3.0,16.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,17.52,26.28,140.16,55.002131408404615,238.96213140840464,97.48021314084046,0.9092927374749035
21.0,2.0,4.0,15.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,17.52,35.04,131.4,54.85813140840462,238.81813140840464,100.09381314084045,0.9087447922694241
21.0,2.0,5.0,14.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,17.52,43.8,122.64,54.71413140840461,238.67413140840463,102.70741314084046,0.9081968470639445
21.0,2.0,6.0,13.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,17.52,52.56,113.88,54.57013140840461,238.53013140840463,105.32101314084045,0.9076489018584651
21.0,2.0,7.0,12.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,17.52,61.32,105.12,54.426131408404615,238.38613140840462,107.93461314084045,0.9071009566529856
21.0,2.0,8.0,11.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,17.52,70.08,96.36,54.28213140840462,238.24213140840465,110.54821314084046,0.9065530114475062
21.0,2.0,9.0,10.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,17.52,78.84,87.6,54.13813140840462,238.09813140840464,113.16181314084045,0.9060050662420268
21.0,2.0,10.0,9.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,17.52,87.6,78.84,53.99413140840461,237.95413140840463,115.77541314084046,0.9054571210365473
21.0,2.0,11.0,8.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,17.52,96.36,70.08,53.850131408404614,237.81013140840463,118.38901314084046,0.9049091758310679
21.0,3.0,0.0,18.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,26.28,0.0,157.68,55.26613140840462,239.22613140840463,94.87861314084046,0.9102973036849491
21.0,3.0,1.0,17.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,26.28,8.76,148.92,55.12213140840461,239.08213140840462,97.49221314084046,0.9097493584794697
21.0,3.0,2.0,16.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,26.28,17.52,140.16,54.978131408404614,238.93813140840464,100.10581314084045,0.9092014132739903
21.0,3.0,3.0,15.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,26.28,26.28,131.4,54.834131408404616,238.79413140840464,102.71941314084046,0.9086534680685108
21.0,3.0,4.0,14.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,26.28,35.04,122.64,54.69013140840462,238.65013140840463,105.33301314084045,0.9081055228630314
21.0,3.0,5.0,13.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,26.28,43.8,113.88,54.54613140840461,238.50613140840463,107.94661314084046,0.9075575776575519
21.0,3.0,6.0,12.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,26.28,52.56,105.12,54.402131408404614,238.36213140840462,110.56021314084046,0.9070096324520724
21.0,3.0,7.0,11.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,26.28,61.32,96.36,54.258131408404616,238.21813140840464,113.17381314084045,0.9064616872465929
21.0,3.0,8.0,10.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,26.28,70.08,87.6,54.11413140840462,238.07413140840464,115.78741314084046,0.9059137420411135
21.0,3.0,9.0,9.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,26.28,78.84,78.84,53.97013140840461,237.93013140840463,118.40101314084046,0.9053657968356341
21.0,3.0,10.0,8.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,26.28,87.6,70.08,53.82613140840461,237.78613140840463,121.01461314084045,0.9048178516301546
21.0,4.0,0.0,17.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,35.04,0.0,148.92,55.09813140840461,239.05813140840462,100.11781314084045,0.9096580342785564
21.0,4.0,1.0,16.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,35.04,8.76,140.16,54.95413140840461,238.91413140840464,102.73141314084046,0.909110089073077
21.0,4.0,2.0,15.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,35.04,17.52,131.4,54.810131408404615,238.77013140840464,105.34501314084045,0.9085621438675976
21.0,4.0,3.0,14.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,35.04,26.28,122.64,54.66613140840462,238.62613140840463,107.95861314084046,0.9080141986621181
21.0,4.0,4.0,13.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,35.04,35.04,113.88,54.52213140840461,238.48213140840463,110.57221314084046,0.9074662534566387
21.0,4.0,5.0,12.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,35.04,43.8,105.12,54.37813140840461,238.33813140840462,113.18581314084045,0.9069183082511592
21.0,4.0,6.0,11.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,35.04,52.56,96.36,54.234131408404615,238.19413140840464,115.79941314084046,0.9063703630456797
21.0,4.0,7.0,10.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,35.04,61.32,87.6,54.090131408404616,238.05013140840464,118.41301314084046,0.9058224178402002
21.0,4.0,8.0,9.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,35.04,70.08,78.84,53.94613140840462,237.90613140840463,121.02661314084045,0.9052744726347208
21.0,5.0,0.0,16.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,43.8,0.0,140.16,54.93013140840461,238.89013140840464,105.35701314084045,0.9090187648721637
21.0,5.0,1.0,15.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,43.8,8.76,131.4,54.786131408404614,238.74613140840464,107.97061314084046,0.9084708196666843
21.0,5.0,2.0,14.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,43.8,17.52,122.64,54.642131408404616,238.60213140840463,110.58421314084046,0.9079228744612049
21.0,5.0,3.0,13.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,43.8,26.28,113.88,54.49813140840462,238.45813140840463,113.19781314084045,0.9073749292557254
21.0,5.0,4.0,12.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,43.8,35.04,105.12,54.35413140840461,238.31413140840462,115.81141314084046,0.906826984050246
21.0,5.0,5.0,11.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,43.8,43.8,96.36,54.210131408404614,238.17013140840464,118.42501314084046,0.9062790388447665
21.0,5.0,6.0,10.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,43.8,52.56,87.6,54.066131408404615,238.02613140840464,121.03861314084045,0.905731093639287
21.0,6.0,0.0,15.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,52.56,0.0,131.4,54.76213140840461,238.72213140840464,110.59621314084046,0.908379495465771
21.0,6.0,1.0,14.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,52.56,8.76,122.64,54.618131408404615,238.57813140840463,113.20981314084045,0.9078315502602916
21.0,6.0,2.0,13.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,52.56,17.52,113.88,54.47413140840462,238.43413140840462,115.82341314084046,0.9072836050548122
21.0,6.0,3.0,12.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,52.56,26.28,105.12,54.33013140840462,238.29013140840465,118.43701314084045,0.9067356598493327
21.0,7.0,0.0,14.0,100.0,100.0,100.0,67.22388694415203,283.54041775447905,61.32,0.0,122.64,54.58928536586347,238.54928536586348,115.83492853658635,0.9077217860192675
21.0,8.0,0.0,13.0,99.93150684931507,100.0,100.0,67.22394396631289,283.5404177544791,70.04784675496806,0.0,113.88,54.453238258479146,238.38108501344718,121.04517058081598,0.9070817542368614
