Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Reliability_A,Reliability_B1,Reliability_B2,LCOE_delivered,Curtailment_Annual_GWh,Energy_A_Annual_GWh,Energy_B1_Annual_GWh,Energy_B2_Annual_GWh,Energy_C_Annual_GWh,Total_Delivered_Annual_GWh,Objective_Value,Realized_Utilization
2.0,6.0,1.0,100.0,100.0,100.0,201.3964942662407,469.3672558193542,17.52,52.56,8.76,0.0,78.84,57.816,0.15
1.0,8.0,0.0,100.0,100.0,100.0,201.3964942662407,469.43291054039577,8.76,70.08,0.0,0.0,78.84,57.816,0.15
3.0,4.0,2.0,100.0,100.0,100.0,201.3964942662407,469.28185388479204,26.28,35.04,17.52,0.0,78.84,57.816,0.15
0.0,8.0,2.0,100.0,100.0,100.0,181.2568448396167,459.32069820461294,0.0,70.08,17.52,0.0,87.6,56.064,0.16666666666666666
6.0,0.0,1.0,100.0,100.0,100.0,258.9383497708809,489.06667163165173,52.56,0.0,8.76,0.0,61.32,56.064,0.11666666666666667
5.0,2.0,0.0,100.0,100.0,100.0,258.9383497708809,489.20672326440024,43.8,17.52,0.0,0.0,61.32,56.064,0.11666666666666667
3.0,4.0,1.0,100.0,100.0,100.0,226.57105604952082,479.35585388479205,26.28,35.04,8.76,0.0,70.08,54.312,0.13333333333333333
2.0,6.0,0.0,100.0,100.0,100.0,226.57105604952082,479.4412558193542,17.52,52.56,0.0,0.0,70.08,54.312,0.13333333333333333
4.0,2.0,2.0,100.0,100.0,100.0,226.57105604952082,479.2527332303338,35.04,17.52,17.52,0.0,70.08,54.312,0.13333333333333333
6.0,0.0,0.0,100.0,100.0,100.0,302.0947413993611,499.14067163165174,52.56,0.0,0.0,0.0,52.56,52.56,0.1
1.0,6.0,2.0,100.0,100.0,100.0,201.3964942662407,469.43333087408064,8.76,52.56,17.52,0.0,78.84,52.56,0.15
0.0,8.0,1.0,100.0,100.0,100.0,201.3964942662407,469.394698204613,0.0,70.08,8.76,0.0,78.84,52.56,0.15
4.0,2.0,1.0,100.0,100.0,100.0,258.9383497708809,489.3267332303338,35.04,17.52,8.76,0.0,61.32,50.808,0.11666666666666667
5.0,0.0,2.0,100.0,100.0,100.0,258.9383497708809,489.20672326440024,43.8,0.0,17.52,0.0,61.32,50.808,0.11666666666666667
3.0,4.0,0.0,100.0,100.0,100.0,258.9383497708809,489.429853884792,26.28,35.04,0.0,0.0,61.32,50.808,0.11666666666666667
0.0,8.0,0.0,100.0,100.0,100.0,226.57105604952082,479.46869820461296,0.0,70.08,0.0,0.0,70.08,49.056,0.13333333333333333
1.0,6.0,1.0,100.0,100.0,100.0,226.57105604952082,479.50733087408065,8.76,52.56,8.76,0.0,70.08,49.056,0.13333333333333333
2.0,4.0,2.0,100.0,100.0,100.0,226.57105604952082,479.4412558193542,17.52,35.04,17.52,0.0,70.08,49.056,0.13333333333333333
5.0,0.0,1.0,100.0,100.0,100.0,302.0947413993611,499.2807232644002,43.8,0.0,8.76,0.0,52.56,47.304,0.1
4.0,2.0,0.0,100.0,100.0,100.0,302.0947413993611,499.4007332303338,35.04,17.52,0.0,0.0,52.56,47.304,0.1
