Time,PL_R,BE_R,DE_CS,DE_ME,DE_NE,DE_NW,DK_W,DK_E,EE_R,FI_R,FR_R,GB_R,LT_R,LV_R,NL_R,NO_M,NO_MW,NO_N,NO_SE,NO_SW,SE_M,SE_N1,SE_N2,SE_S
14-Aug-2030 17:00:00,132.448732955609,132.448732955609,132.448732955609,132.449732955609,132.448732955609,132.447732955609,132.446732955609,132.447732955609,67.8170678797984,60.4193489734175,119.568262380486,132.448732955609,67.8190678797984,67.8180678797984,132.449732955609,60.4203489734175,60.4213489734176,60.4193489734175,60.4213489734176,60.4223489734175,60.4203489734175,60.4183489734176,60.4193489734175,60.4193489734175
14-Aug-2030 18:00:00,85.1106348567752,85.1106348567752,85.1106348567752,85.1116348567748,85.1106348567752,85.1096348567756,85.1086348567759,85.1096348567756,84.9933841908447,52.9640140760758,60.4233489734175,85.1106348567752,84.9953841908447,84.9943841908447,85.1116348567752,52.9650140760758,52.9660140760758,52.9640140760758,52.9660140760758,52.9670140760758,52.9650140760758,52.9630140760758,52.9640140760758,52.9640140760758
14-Aug-2030 19:00:00,73.4395179755719,73.4395179755719,73.4405179755719,73.4405179755719,73.4395179755719,73.4385179755719,73.4375179755719,73.4385179755719,73.4365179755719,52.9640140760758,60.4233489734175,73.4395179755719,73.4385179755719,73.4375179755719,73.4405179755719,52.9650140760758,52.9660140760758,52.9640140760758,52.9660140760758,52.9670140760758,52.9650140760758,52.9630140760758,52.9640140760758,52.9640140760758
14-Aug-2030 20:00:00,70.2937741738951,70.2907741738951,70.2907741738951,70.2917741738951,62.8655396861856,62.8645396861857,62.8635396861857,62.8645396861857,70.2907741738951,52.9640140760758,60.4233489734175,70.2907741738951,70.2927741738951,70.2917741738951,70.2917741738951,52.9650140760758,52.9660140760758,52.9640140760758,52.9660140760758,52.9670140760758,52.9650140760758,52.9630140760758,52.9640140760758,52.9640140760758
14-Aug-2030 21:00:00,70.2907741738951,70.2907741738951,70.2907741738951,70.2897741738951,52.9700140760758,52.9690140760758,52.9680140760758,52.9690140760758,70.2877741738951,52.9640140760758,60.4233489734175,70.2907741738951,70.2897741738951,70.2887741738951,70.2917741738951,52.9650140760758,52.9660140760758,52.9640140760758,52.9660140760758,52.9670140760758,52.9650140760758,52.9630140760758,52.9640140760758,52.9640140760758
14-Aug-2030 22:00:00,68.2041888797984,68.2031888797984,68.2041888797984,68.2031888797984,68.2021888797984,68.2011888797984,68.2001888797984,68.2011888797984,68.2011888797984,52.9640140760758,60.4233489734175,68.2021888797984,68.2031888797984,68.2021888797984,68.2031888797984,52.9650140760758,52.9660140760758,52.9640140760758,52.9660140760758,52.9670140760758,52.9650140760758,52.9630140760758,52.9640140760758,52.9640140760758
14-Aug-2030 23:00:00,52.9730140760758,52.9690140760758,52.9700140760758,52.9710140760758,52.9700140760758,52.9690140760758,52.9680140760758,52.9690140760758,52.9690140760758,52.9640140760758,52.9670140760758,52.9680140760758,52.9720140760758,52.9710140760758,52.9690140760758,52.9650140760758,52.9660140760758,52.9640140760758,52.9660140760758,52.9670140760758,52.9650140760758,52.9630140760758,52.9640140760758,52.9640140760758
15-Aug-2030 00:00:00,55.7078871298629,55.702887129863,55.7048871298629,55.705887129863,55.7048871298629,55.703887129863,55.702887129863,55.703887129863,55.703887129863,55.699887129863,8.34422023428572,55.701887129863,55.7068871298629,55.705887129863,55.703887129863,55.700887129863,55.701887129863,55.699887129863,55.701887129863,55.702887129863,55.700887129863,55.698887129863,55.699887129863,55.699887129863
15-Aug-2030 01:00:00,55.7068871298629,55.701887129863,55.703887129863,55.7048871298629,55.703887129863,55.702887129863,55.701887129863,55.702887129863,55.702887129863,55.699887129863,8.34422023428572,55.700887129863,55.705887129863,55.7048871298629,55.702887129863,55.699887129863,55.700887129863,55.698887129863,55.701887129863,55.701887129863,55.700887129863,55.698887129863,55.699887129863,55.699887129863
15-Aug-2030 02:00:00,55.7068871298629,55.701887129863,55.703887129863,55.7048871298629,55.703887129863,55.702887129863,55.701887129863,55.702887129863,55.702887129863,55.699887129863,8.34422023428572,10.8871028436364,55.705887129863,55.7048871298629,55.702887129863,55.699887129863,55.700887129863,55.698887129863,55.701887129863,55.701887129863,55.700887129863,55.698887129863,55.699887129863,55.699887129863
15-Aug-2030 03:00:00,55.7068871298629,55.701887129863,55.703887129863,55.7048871298629,55.703887129863,55.702887129863,55.701887129863,55.702887129863,55.702887129863,55.699887129863,8.34422023428572,10.8871028436364,55.705887129863,55.7048871298629,55.702887129863,55.699887129863,55.700887129863,55.698887129863,55.701887129863,55.701887129863,55.700887129863,55.698887129863,55.699887129863,55.699887129863
15-Aug-2030 04:00:00,55.7068871298629,10.8881028436364,55.703887129863,55.7048871298629,55.703887129863,55.702887129863,55.701887129863,55.702887129863,55.703887129863,55.699887129863,8.34422023428572,10.8871028436364,55.705887129863,55.7048871298629,55.700887129863,55.699887129863,55.700887129863,55.698887129863,55.701887129863,55.701887129863,55.700887129863,55.698887129863,55.699887129863,55.699887129863
15-Aug-2030 05:00:00,55.705887129863,10.8881028436364,55.702887129863,55.703887129863,55.702887129863,55.701887129863,55.700887129863,55.701887129863,55.703887129863,55.699887129863,8.34422023428572,10.8871028436364,55.705887129863,55.7048871298629,55.699887129863,55.699887129863,55.700887129863,55.698887129863,55.701887129863,55.700887129863,55.700887129863,55.698887129863,55.699887129863,55.699887129863
15-Aug-2030 06:00:00,68.2041888797984,10.8881028436364,55.701887129863,55.702887129863,55.701887129863,55.700887129863,55.699887129863,55.700887129863,68.2051888797984,55.699887129863,8.34422023428572,10.8871028436364,68.2051888797984,68.2061888797984,10.8891028436364,55.699887129863,55.700887129863,55.698887129863,55.700887129863,55.699887129863,55.700887129863,55.698887129863,55.699887129863,55.699887129863
15-Aug-2030 07:00:00,68.2041888797984,10.8881028436364,55.702887129863,55.703887129863,55.702887129863,55.701887129863,55.701887129863,55.702887129863,68.2051888797984,55.699887129863,8.34422023428572,10.8871028436364,68.2051888797984,68.2061888797984,10.8891028436364,55.699887129863,55.700887129863,55.698887129863,55.701887129863,55.700887129863,55.700887129863,55.698887129863,55.699887129863,55.699887129863
15-Aug-2030 08:00:00,68.8200678797984,13.6677809373737,55.701887129863,55.702887129863,55.701887129863,55.700887129863,55.700887129863,55.701887129863,68.8190678797984,55.699887129863,13.6657809373737,13.6667809373737,68.8190678797984,68.8200678797984,13.6687809373737,55.699887129863,55.700887129863,55.698887129863,55.700887129863,55.699887129863,55.700887129863,55.698887129863,55.699887129863,55.699887129863
15-Aug-2030 09:00:00,70.4284402640327,10.8881028436364,55.700887129863,55.701887129863,55.700887129863,55.699887129863,55.699887129863,55.700887129863,70.4274402640328,55.699887129863,10.8861028436364,10.8871028436364,70.4274402640328,70.4284402640327,10.8891028436364,55.699887129863,55.699887129863,55.698887129863,55.699887129863,55.698887129863,55.700887129863,55.698887129863,55.699887129863,55.699887129863
15-Aug-2030 10:00:00,70.4284402640327,8.34622023428572,55.700887129863,55.701887129863,55.700887129863,55.699887129863,55.699887129863,55.700887129863,70.4274402640328,55.699887129863,8.34422023428572,8.34522023428572,70.4274402640328,70.4284402640327,8.34722023428572,55.699887129863,55.699887129863,55.698887129863,55.699887129863,55.698887129863,55.700887129863,55.698887129863,55.699887129863,55.699887129863
15-Aug-2030 11:00:00,68.2041888797984,8.34622023428572,55.702887129863,55.703887129863,55.702887129863,55.701887129863,55.701887129863,55.702887129863,68.2031888797984,55.699887129863,8.34422023428572,8.34522023428572,68.2031888797984,68.2041888797984,8.34722023428572,55.699887129863,55.700887129863,55.698887129863,55.701887129863,55.700887129863,55.700887129863,55.698887129863,55.699887129863,55.699887129863
