Wind_MW,Solar_MW,Available_RE_MW,Served_IT_MW,Served_Facility_MW,Unserved_A_IT_MW,Unserved_A_Facility_MW,RE_Direct_To_Load_MW,BESS_Charge_MW,BESS_Discharge_MW,Curtailment_MW,BESS_Net_MW,Balance_Residual_MW
99.8783955194078,0.0,99.8783955194078,8.0,9.2,0.0,0.0,9.2,0.0,0.0,90.6783955194078,0.0,0.0
99.91834636948012,0.0,99.91834636948012,8.0,9.2,0.0,0.0,9.2,0.0,0.0,90.71834636948012,0.0,0.0
99.90180007888864,0.0,99.90180007888864,8.0,9.2,0.0,0.0,9.2,0.0,0.0,90.70180007888864,0.0,0.0
99.9498753980434,0.0,99.9498753980434,8.0,9.2,0.0,0.0,9.2,0.0,0.0,90.7498753980434,0.0,0.0
99.97956283304951,0.0,99.97956283304951,8.0,9.2,0.0,0.0,9.2,0.0,0.0,90.77956283304951,0.0,0.0
99.9808493019522,0.0,99.9808493019522,8.0,9.2,0.0,0.0,9.2,0.0,0.0,90.7808493019522,0.0,0.0
99.99261974825971,0.0,99.99261974825971,8.0,9.2,0.0,0.0,9.2,14.442671805467484,0.0,76.34994794279223,-14.442671805467484,0.0
99.98782316111318,0.0,99.98782316111318,8.0,9.2,0.0,0.0,9.2,0.0,0.0,90.78782316111318,0.0,0.0
99.96769329170812,0.0,99.96769329170812,8.0,9.2,0.0,0.0,9.2,0.0,0.0,90.76769329170811,0.0,0.0
99.96003355914979,0.0,99.96003355914979,8.0,9.2,0.0,0.0,9.2,0.0,0.0,90.76003355914979,0.0,0.0
99.97399004874795,0.0,99.97399004874795,8.0,9.2,0.0,0.0,9.2,0.0,0.0,90.77399004874795,0.0,0.0
99.98740796085009,0.0,99.98740796085009,8.0,9.2,0.0,0.0,9.2,0.0,0.0,90.78740796085009,0.0,0.0
99.99913802914674,0.0,99.99913802914674,8.0,9.2,0.0,0.0,9.2,0.0,0.0,90.79913802914673,0.0,0.0
99.9977549058713,0.0,99.9977549058713,8.0,9.2,0.0,0.0,9.2,0.0,0.0,90.7977549058713,0.0,0.0
99.99960386976163,0.0,99.99960386976163,8.0,9.2,0.0,0.0,9.2,0.0,0.0,90.79960386976163,0.0,0.0
99.99933062282157,0.0,99.99933062282157,8.0,9.2,0.0,0.0,9.2,0.0,0.0,90.79933062282157,0.0,0.0
99.99873932658382,1.650785004198584,101.6495243307824,8.0,9.2,0.0,0.0,9.2,0.0,0.0,92.4495243307824,0.0,0.0
99.997298689333,5.736804892045478,105.73410358137848,8.0,9.2,0.0,0.0,9.2,0.0,0.0,96.53410358137847,0.0,0.0
99.98673217142233,6.994921189994821,106.98165336141716,8.0,9.2,0.0,0.0,9.2,0.0,0.0,97.78165336141716,0.0,0.0
99.48456021080827,6.75130242137822,106.2358626321865,8.0,9.2,0.0,0.0,9.2,0.0,0.0,97.0358626321865,0.0,0.0
94.2682038230424,5.8188361755859415,100.08703999862834,8.0,9.2,0.0,0.0,9.2,0.0,0.0,90.88703999862834,0.0,0.0
84.7011196195161,13.327494996344068,98.02861461586018,8.0,9.2,0.0,0.0,9.2,0.0,0.0,88.82861461586018,0.0,0.0
81.58717481406848,0.0,81.58717481406848,8.0,9.2,0.0,0.0,9.2,0.0,0.0,72.38717481406847,0.0,0.0
79.08319252112433,0.0,79.08319252112433,8.0,9.2,0.0,0.0,9.2,0.0,0.0,69.88319252112433,0.0,0.0
80.48109017196735,0.0,80.48109017196735,8.0,9.2,0.0,0.0,9.2,0.0,0.0,71.28109017196735,0.0,0.0
88.74107489525025,0.0,88.74107489525025,8.0,9.2,0.0,0.0,9.2,0.0,0.0,79.54107489525025,0.0,0.0
91.62458490830177,0.0,91.62458490830177,8.0,9.2,0.0,0.0,9.2,0.0,0.0,82.42458490830177,0.0,0.0
91.64717546771178,0.0,91.64717546771178,8.0,9.2,0.0,0.0,9.2,0.0,0.0,82.44717546771177,0.0,0.0
90.88214091801488,0.0,90.88214091801488,8.0,9.2,0.0,0.0,9.2,0.0,0.0,81.68214091801488,0.0,0.0
91.23568075388161,0.0,91.23568075388161,8.0,9.2,0.0,0.0,9.2,0.0,0.0,82.0356807538816,0.0,0.0
95.92346177085544,0.0,95.92346177085544,8.0,9.2,0.0,0.0,9.2,0.0,0.0,86.72346177085544,0.0,0.0
93.729079454266,0.0,93.729079454266,8.0,9.2,0.0,0.0,9.2,0.0,0.0,84.529079454266,0.0,0.0
86.87678026998535,0.0,86.87678026998535,8.0,9.2,0.0,0.0,9.2,0.0,0.0,77.67678026998534,0.0,0.0
86.62468667529295,0.0,86.62468667529295,8.0,9.2,0.0,0.0,9.2,0.0,0.0,77.42468667529295,0.0,0.0
90.60229146217577,0.0,90.60229146217577,8.0,9.2,0.0,0.0,9.2,0.0,0.0,81.40229146217577,0.0,0.0
